project,unit,type,owner,parent,countries,status,start_year,capacity,production,capacity_production_unit,geom,lat,lng,route,url,status_legend
Sulbagut 1 Combined Cycle power station,1,gas_power_plant,PT PLN (Persero),PT PLN (Persero),Indonesia,shelved,,150,,MW,point,1.6574,125.09,,https://www.gem.wiki/Sulbagut_1_Combined_Cycle_power_station,shelved
Sulsel power station,1,gas_power_plant,PT PLN (Persero),PT PLN (Persero),Indonesia,shelved,,450,,MW,point,-4.9357,119.52,,https://www.gem.wiki/Sulsel_power_station,shelved
Sultan Aziz power station,1,gas_power_plant,Tenaga Nasional Bhd [60.0%]; Malakoff Corporation Bhd [40.0%],Tenaga Nasional Bhd [60.0%]; Malakoff Corporation Bhd [40.0%],Malaysia,operating,1985,282,,MW,point,3.1167,101.32,,https://www.gem.wiki/Sultan_Aziz_power_station,operating
Sultan Aziz power station,2,gas_power_plant,Tenaga Nasional Bhd [60.0%]; Malakoff Corporation Bhd [40.0%],Tenaga Nasional Bhd [60.0%]; Malakoff Corporation Bhd [40.0%],Malaysia,operating,1986,282,,MW,point,3.1167,101.32,,https://www.gem.wiki/Sultan_Aziz_power_station,operating
Sultan Ismail power station,1R,gas_power_plant,Tenaga Nasional Bhd,Tenaga Nasional Bhd,Malaysia,retired,1987,1400,,MW,point,4.5972,103.45,,https://www.gem.wiki/Sultan_Ismail_power_station,retired
Sumbagut Gas and Steam power station,1,gas_power_plant,PT Pembangkitan Jawa Bali,PT Pembangkitan Jawa Bali,Indonesia,announced,2030,200,,MW,point,3.76,98.746,,https://www.gem.wiki/Sumbagut_Gas_and_Steam_power_station,proposed_plus
Sumbagut Gas and Steam power station,3,gas_power_plant,PT Pembangkitan Jawa Bali,PT Pembangkitan Jawa Bali,Indonesia,announced,2030,300,,MW,point,3.76,98.746,,https://www.gem.wiki/Sumbagut_Gas_and_Steam_power_station,proposed_plus
Sumbagut Gas and Steam power station,4,gas_power_plant,PT Pembangkitan Jawa Bali,PT Pembangkitan Jawa Bali,Indonesia,announced,2030,300,,MW,point,3.76,98.746,,https://www.gem.wiki/Sumbagut_Gas_and_Steam_power_station,proposed_plus
Sumbawa-1 power station,1,gas_power_plant,PT PLN (Persero),PT PLN (Persero),Indonesia,operating,,50,,MW,point,-8.484,117.36,,https://www.gem.wiki/Sumbawa-1_power_station,operating
Sumitomo Chiba Food Complex cogeneration power station,1,gas_power_plant,Summit Mihama Power Corp,Sumitomo Corp,Japan,operating,2004,50,,MW,point,35.602,140.13,,https://www.gem.wiki/Sumitomo_Chiba_Food_Complex_cogeneration_power_station,operating
Summit Barisal power plant,1,gas_power_plant,Summit Power Ltd; Summit Barisal Power Ltd [60.0%],Summit Power Ltd; Summit Barisal Power Ltd [60.0%],Bangladesh,operating,2016,119.532,,MW,point,22.659,90.336,,https://www.gem.wiki/Summit_Barisal_power_plant,operating
Summit Gazipur I power station,1,gas_power_plant,other [36.0%]; Ace Alliance Power Ltd [64.0%],other [36.0%]; Ace Alliance Power Ltd [64.0%],Bangladesh,operating,2018,147.32,,MW,point,23.995,90.338,,https://www.gem.wiki/Summit_Gazipur_I_power_station,operating
Summit Gazipur II power station,1,gas_power_plant,Summit Power Ltd [20.0%]; Summit Gazipur II Power Ltd [80.0%]; Summit Gazipur II Power Ltd [80.0%],Summit Co Ltd [64.0%],Bangladesh,operating,2018,307.368,,MW,point,23.995,90.338,,https://www.gem.wiki/Summit_Gazipur_II_power_station,operating
Summit Khulna (KPCL) power station,1,gas_power_plant,Summit Power Ltd [17.6%]; Khulna Power Co Ltd [82.4%],Summit Power Ltd [17.6%]; Khulna Power Co Ltd [82.4%],Bangladesh,operating,1998,119,,MW,point,22.867,89.539,,https://www.gem.wiki/Summit_Khulna_(KPCL)_power_station,operating
Summit Madanganj power plant,1,gas_power_plant,Summit Power Ltd,Summit Power Ltd,Bangladesh,operating,2011,102,,MW,point,23.596,90.515,,https://www.gem.wiki/Summit_Madanganj_power_plant,operating
Summit Madanganj power plant,2-1,gas_power_plant,Summit Power Ltd [51.0%]; Summit Power Ltd [49.0%],Summit Power Ltd [51.0%]; Summit Power Ltd [49.0%],Bangladesh,operating,2016,85.4,,MW,point,23.596,90.515,,https://www.gem.wiki/Summit_Madanganj_power_plant,operating
Sungai Gelam power station,1,gas_power_plant,PT PLN (Persero),PT PLN (Persero),Indonesia,operating,,110,,MW,point,-1.6739,103.68,,https://www.gem.wiki/Sungai_Gelam_power_station,operating
