project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,status
Guangxi Fangchenggang Steel Base power station,1,gas_power_plant,Guangxi Iron and Steel Group Co Ltd,Liuzhou IRON&STEEL Co Ltd [45.80%]; Guangxi Liuzhou Iron and Steel Group Co Ltd [45.60%]; China Baowu Steel Group Co Ltd [8.60%],China,operating,2021,135,,MW,point,21.548,108.39,,https://www.gem.wiki/Guangxi_Fangchenggang_Steel_Base_power_station,operating
Guangxi Fangchenggang Steel Base power station,2,gas_power_plant,Guangxi Iron and Steel Group Co Ltd,Liuzhou IRON&STEEL Co Ltd [45.80%]; Guangxi Liuzhou Iron and Steel Group Co Ltd [45.60%]; China Baowu Steel Group Co Ltd [8.60%],China,operating,2021,135,,MW,point,21.548,108.39,,https://www.gem.wiki/Guangxi_Fangchenggang_Steel_Base_power_station,operating
Guangxi Fangchenggang Steel Base power station,3,gas_power_plant,Guangxi Iron and Steel Group Co Ltd,Liuzhou IRON&STEEL Co Ltd [45.80%]; Guangxi Liuzhou Iron and Steel Group Co Ltd [45.60%]; China Baowu Steel Group Co Ltd [8.60%],China,operating,2020,135,,MW,point,21.548,108.39,,https://www.gem.wiki/Guangxi_Fangchenggang_Steel_Base_power_station,operating
Guangxi Fangchenggang Steel Base power station,4,gas_power_plant,Guangxi Iron and Steel Group Co Ltd,Liuzhou IRON&STEEL Co Ltd [45.80%]; Guangxi Liuzhou Iron and Steel Group Co Ltd [45.60%]; China Baowu Steel Group Co Ltd [8.60%],China,announced,,180,,MW,point,21.548,108.39,,https://www.gem.wiki/Guangxi_Fangchenggang_Steel_Base_power_station,proposed_plus
Guangxi GCL Zhongma Industrial Zone power station,1-1,gas_power_plant,GCL Energy Technology Co Ltd,GCL Energy Technology Co Ltd,China,operating,2020,75,,MW,point,21.756,108.67,,https://www.gem.wiki/Guangxi_GCL_Zhongma_Industrial_Zone_power_station,operating
Guangxi GCL Zhongma Industrial Zone power station,1-2,gas_power_plant,GCL Energy Technology Co Ltd,GCL Energy Technology Co Ltd,China,operating,2020,75,,MW,point,21.756,108.67,,https://www.gem.wiki/Guangxi_GCL_Zhongma_Industrial_Zone_power_station,operating
"Guangxi Guigang Iron and Steel Group Co., Ltd. Gas Power Project",1,gas_power_plant,Guangxi Guigang Iron and Steel Group Co Ltd,persons [44.00%]; Guigang Helong Investment Partnership LP [41.80%]; Guigang Herun Investment Partnership LP [12.50%]; other [1.70%],China,operating,2022,100,,MW,point,23.089,109.63,,"https://www.gem.wiki/Guangxi_Guigang_Iron_and_Steel_Group_Co.,_Ltd._Gas_Power_Project",operating
Guangxi Huaneng Guilin power station,1-1,gas_power_plant,Huaneng Guilin Gas Distributed Energy Co Ltd,Huaneng Power International Inc [80.00%]; Guilin Sanjin Pharmaceutical Co Ltd [20.00%],China,operating,2017,70,,MW,point,25.21,110.18,,https://www.gem.wiki/Guangxi_Huaneng_Guilin_power_station,operating
Guangxi Huaneng Guilin power station,1-2,gas_power_plant,Huaneng Guilin Gas Distributed Energy Co Ltd,Huaneng Power International Inc [80.00%]; Guilin Sanjin Pharmaceutical Co Ltd [20.00%],China,operating,2017,70,,MW,point,25.21,110.18,,https://www.gem.wiki/Guangxi_Huaneng_Guilin_power_station,operating
Guangxi Huaneng Guilin power station,1-3,gas_power_plant,Huaneng Guilin Gas Distributed Energy Co Ltd,Huaneng Power International Inc [80.00%]; Guilin Sanjin Pharmaceutical Co Ltd [20.00%],China,operating,2017,70,,MW,point,25.21,110.18,,https://www.gem.wiki/Guangxi_Huaneng_Guilin_power_station,operating
